SampleID,PE_Bowtie,SE_Bowtie,SE_STAR
PB357_02,64.24460805399093,78.70778117563538,77.22
PB357_09,63.34743980320112,80.32840142592413,76.19
PB357_16,65.91839191369606,82.3648671997436,74.97
PB357_18,64.68989054242098,79.24828253614423,75.64
PB357_19,63.12529318778167,78.0895492250589,76.79
PB357_20,66.32666479373817,81.40726739318008,74.59
PB357_21,65.97121154342896,79.4983065785277,74.13
PB357_22,63.21403703941253,81.78903243571652,73.9
PB357_28,66.39770243699543,83.18646671783695,72.98
PB357_29,62.134649835445266,78.35284226072758,75.44
PB358_01,60.91559034883949,77.05642819224188,77.08
PB358_04,66.89302713196878,83.01593567382152,74.42
PB358_05,61.69475847795711,84.2398257196053,76.57
PB358_07,57.12371651529027,83.71866299597502,75.47
PB358_08,59.32545581990598,84.95160280226752,74.58
PB358_12,61.123047275827936,84.09912887135361,75.79
PB358_13,64.01641829943738,81.76976411028315,78.02
PB358_18,58.263543502100454,81.66357907113374,77.94
PB358_19,62.48104918008023,80.77187357497104,79.45
PB358_25,64.26869601037878,82.34636234636771,75.69
PB358_28,61.69793097652008,84.56970877043499,77.07
PB358_29,63.21572393558617,86.72507434005618,76.05
PB358_32,55.48459274196128,72.29794980702192,77.53
PB358_33,63.442786513143865,78.06641155229798,74.81
PB358_34,63.95918762393823,86.23052601333835,75.61
PB358_39,55.60488474506747,82.6171400158277,76.39
PB358_42,62.50368214357203,85.86406900724154,76.87
PB358_43,56.73158445872001,78.85497211188203,77.34
PB358_50,58.66519807059516,84.72940668217046,76.35
PB358_57,58.54192914701346,86.20068548531255,75.2
PB359_03,59.2407431429804,77.4957167076735,78.72
PB359_06,57.33478593091782,85.76276271234636,75.34
PB359_19,65.16511777969721,81.86842337451577,77.68
PB359_22,61.15433852955798,82.88938100960388,77
PB359_25,63.80025399907715,81.95167263494696,74.71
PB359_29,60.847699203836804,78.21735773135413,79.23
PB359_33,59.61531029382287,80.60880092886595,74.43
PB359_41,59.431806360009546,73.98666234392421,77.41
PB359_42,67.84993295693471,82.34145501190191,76.63
PB359_49,68.06476064215238,81.94569917254702,75.97
PB359_51,61.99281320042319,84.07193380460762,76.54
PB359_55,62.94824999440177,79.7890018260397,76.52
PB359_56,62.09126155037155,84.41909271353279,75.91
PB359_57,55.93187626982623,80.13615845066259,78.26
PB359_64,59.54652805556505,82.03428140593078,77.58
PB359_65,61.98189405639313,84.8732220006162,77.06
PB359_66,58.94251673496992,84.56073069681877,77.72
PB359_67,54.552780293985656,80.64290135036342,76.13
PB359_70,65.7967168386095,80.87229775447217,75.99
PB359_73,64.7422290440457,80.79471147619984,77.14
PB359_83,65.63274330623602,78.57702801137818,75.94
PB359_84,60.361275700651454,76.4163834136479,76.53
PB359_86,64.12031224662577,78.01490428072,73.9
PB359_87,66.26536581199697,81.72322551777754,75.9
PB359_88,62.101335369002,78.61399889535147,77.26
