ensembl_gene_id,gene_biotype
ENSMUSG00000000903,protein_coding
ENSMUSG00000001014,protein_coding
ENSMUSG00000001663,protein_coding
ENSMUSG00000001946,protein_coding
ENSMUSG00000001948,protein_coding
ENSMUSG00000002603,protein_coding
ENSMUSG00000002992,protein_coding
ENSMUSG00000004038,protein_coding
ENSMUSG00000004359,protein_coding
ENSMUSG00000005474,protein_coding
ENSMUSG00000005681,protein_coding
ENSMUSG00000005705,protein_coding
ENSMUSG00000005980,protein_coding
ENSMUSG00000006311,protein_coding
ENSMUSG00000007097,protein_coding
ENSMUSG00000008307,protein_coding
ENSMUSG00000009876,protein_coding
ENSMUSG00000010044,protein_coding
ENSMUSG00000010136,protein_coding
ENSMUSG00000010796,protein_coding
ENSMUSG00000012282,protein_coding
ENSMUSG00000012705,protein_coding
ENSMUSG00000013418,protein_coding
ENSMUSG00000013707,protein_coding
ENSMUSG00000013936,protein_coding
ENSMUSG00000014599,protein_coding
ENSMUSG00000015090,protein_coding
ENSMUSG00000016756,protein_coding
ENSMUSG00000017466,protein_coding
ENSMUSG00000017734,protein_coding
ENSMUSG00000018543,protein_coding
ENSMUSG00000018819,protein_coding
ENSMUSG00000018986,protein_coding
ENSMUSG00000019756,protein_coding
ENSMUSG00000019876,protein_coding
ENSMUSG00000020017,protein_coding
ENSMUSG00000020077,protein_coding
ENSMUSG00000020159,protein_coding
ENSMUSG00000020234,protein_coding
ENSMUSG00000020295,protein_coding
ENSMUSG00000020299,protein_coding
ENSMUSG00000020377,protein_coding
ENSMUSG00000020420,protein_coding
ENSMUSG00000020633,protein_coding
ENSMUSG00000020805,protein_coding
ENSMUSG00000021095,protein_coding
ENSMUSG00000021213,protein_coding
ENSMUSG00000021263,protein_coding
ENSMUSG00000021340,protein_coding
ENSMUSG00000021367,protein_coding
ENSMUSG00000021381,protein_coding
ENSMUSG00000021396,protein_coding
ENSMUSG00000022235,protein_coding
ENSMUSG00000022425,protein_coding
ENSMUSG00000022439,protein_coding
ENSMUSG00000022577,protein_coding
ENSMUSG00000022615,protein_coding
ENSMUSG00000022661,protein_coding
ENSMUSG00000022738,protein_coding
ENSMUSG00000022863,protein_coding
ENSMUSG00000022899,protein_coding
ENSMUSG00000022938,protein_coding
ENSMUSG00000023019,protein_coding
ENSMUSG00000023140,protein_coding
ENSMUSG00000023467,protein_coding
ENSMUSG00000023800,protein_coding
ENSMUSG00000023966,protein_coding
ENSMUSG00000023982,protein_coding
ENSMUSG00000024154,protein_coding
ENSMUSG00000024155,protein_coding
ENSMUSG00000024225,protein_coding
ENSMUSG00000024313,protein_coding
ENSMUSG00000024338,protein_coding
ENSMUSG00000024503,protein_coding
ENSMUSG00000024697,protein_coding
ENSMUSG00000024731,protein_coding
ENSMUSG00000024738,protein_coding
ENSMUSG00000024778,protein_coding
ENSMUSG00000024842,protein_coding
ENSMUSG00000025090,protein_coding
ENSMUSG00000025094,protein_coding
ENSMUSG00000025163,protein_coding
ENSMUSG00000025176,protein_coding
ENSMUSG00000025219,protein_coding
ENSMUSG00000025333,protein_coding
ENSMUSG00000025389,protein_coding
ENSMUSG00000025431,protein_coding
ENSMUSG00000025467,protein_coding
ENSMUSG00000025602,protein_coding
ENSMUSG00000025739,protein_coding
ENSMUSG00000025838,protein_coding
ENSMUSG00000025839,protein_coding
ENSMUSG00000025952,protein_coding
ENSMUSG00000026029,protein_coding
ENSMUSG00000026073,protein_coding
ENSMUSG00000026124,protein_coding
ENSMUSG00000026180,protein_coding
ENSMUSG00000026301,protein_coding
ENSMUSG00000026407,protein_coding
ENSMUSG00000026450,protein_coding
ENSMUSG00000026532,protein_coding
ENSMUSG00000026674,protein_coding
ENSMUSG00000026809,protein_coding
ENSMUSG00000026875,protein_coding
ENSMUSG00000026950,protein_coding
ENSMUSG00000027071,protein_coding
ENSMUSG00000027107,protein_coding
ENSMUSG00000027377,protein_coding
ENSMUSG00000027514,protein_coding
ENSMUSG00000027861,protein_coding
ENSMUSG00000027863,protein_coding
ENSMUSG00000027896,protein_coding
ENSMUSG00000028270,protein_coding
ENSMUSG00000028294,protein_coding
ENSMUSG00000028457,protein_coding
ENSMUSG00000028463,protein_coding
ENSMUSG00000028524,protein_coding
ENSMUSG00000028755,protein_coding
ENSMUSG00000028950,protein_coding
ENSMUSG00000028971,protein_coding
ENSMUSG00000029075,protein_coding
ENSMUSG00000029138,protein_coding
ENSMUSG00000029561,protein_coding
ENSMUSG00000029638,protein_coding
ENSMUSG00000029641,protein_coding
ENSMUSG00000029656,protein_coding
ENSMUSG00000029660,protein_coding
ENSMUSG00000029720,protein_coding
ENSMUSG00000029829,protein_coding
ENSMUSG00000029843,protein_coding
ENSMUSG00000029919,protein_coding
ENSMUSG00000030001,protein_coding
ENSMUSG00000030200,protein_coding
ENSMUSG00000030303,protein_coding
ENSMUSG00000030492,protein_coding
ENSMUSG00000030553,protein_coding
ENSMUSG00000030650,protein_coding
ENSMUSG00000030680,protein_coding
ENSMUSG00000030762,protein_coding
