ensembl_gene_id,gene_biotype
ENSMUSG00000000001,protein_coding
ENSMUSG00000000028,protein_coding
ENSMUSG00000000031,lincRNA
ENSMUSG00000000037,protein_coding
ENSMUSG00000000056,protein_coding
ENSMUSG00000000078,protein_coding
ENSMUSG00000000085,protein_coding
ENSMUSG00000000088,protein_coding
ENSMUSG00000000120,protein_coding
ENSMUSG00000000126,protein_coding
ENSMUSG00000000127,protein_coding
ENSMUSG00000000131,protein_coding
ENSMUSG00000000134,protein_coding
ENSMUSG00000000142,protein_coding
ENSMUSG00000000148,protein_coding
ENSMUSG00000000149,protein_coding
ENSMUSG00000000154,protein_coding
ENSMUSG00000000167,protein_coding
ENSMUSG00000000168,protein_coding
ENSMUSG00000000171,protein_coding
ENSMUSG00000000184,protein_coding
ENSMUSG00000000194,protein_coding
ENSMUSG00000000244,protein_coding
ENSMUSG00000000253,protein_coding
ENSMUSG00000000275,protein_coding
ENSMUSG00000000276,protein_coding
ENSMUSG00000000278,protein_coding
ENSMUSG00000000282,protein_coding
ENSMUSG00000000295,protein_coding
ENSMUSG00000000296,protein_coding
ENSMUSG00000000301,protein_coding
ENSMUSG00000000303,protein_coding
ENSMUSG00000000305,protein_coding
ENSMUSG00000000308,protein_coding
ENSMUSG00000000317,protein_coding
ENSMUSG00000000320,protein_coding
ENSMUSG00000000325,protein_coding
ENSMUSG00000000326,protein_coding
ENSMUSG00000000339,protein_coding
ENSMUSG00000000340,protein_coding
ENSMUSG00000000346,protein_coding
ENSMUSG00000000355,protein_coding
ENSMUSG00000000365,protein_coding
ENSMUSG00000000374,protein_coding
ENSMUSG00000000378,protein_coding
ENSMUSG00000000384,protein_coding
ENSMUSG00000000399,protein_coding
ENSMUSG00000000402,protein_coding
ENSMUSG00000000409,protein_coding
ENSMUSG00000000420,protein_coding
ENSMUSG00000000439,protein_coding
ENSMUSG00000000441,protein_coding
ENSMUSG00000000486,protein_coding
ENSMUSG00000000489,protein_coding
ENSMUSG00000000530,protein_coding
ENSMUSG00000000531,protein_coding
ENSMUSG00000000532,protein_coding
ENSMUSG00000000538,protein_coding
ENSMUSG00000000544,protein_coding
ENSMUSG00000000552,protein_coding
ENSMUSG00000000555,protein_coding
ENSMUSG00000000561,protein_coding
ENSMUSG00000000563,protein_coding
ENSMUSG00000000568,protein_coding
ENSMUSG00000000579,protein_coding
ENSMUSG00000000581,protein_coding
ENSMUSG00000000594,protein_coding
ENSMUSG00000000600,protein_coding
ENSMUSG00000000605,protein_coding
ENSMUSG00000000627,protein_coding
ENSMUSG00000000628,protein_coding
ENSMUSG00000000631,protein_coding
ENSMUSG00000000673,protein_coding
ENSMUSG00000000708,protein_coding
ENSMUSG00000000711,protein_coding
ENSMUSG00000000730,protein_coding
ENSMUSG00000000731,protein_coding
ENSMUSG00000000732,protein_coding
ENSMUSG00000000738,protein_coding
ENSMUSG00000000739,protein_coding
ENSMUSG00000000740,protein_coding
ENSMUSG00000000743,protein_coding
ENSMUSG00000000751,protein_coding
ENSMUSG00000000753,protein_coding
ENSMUSG00000000759,protein_coding
ENSMUSG00000000776,protein_coding
ENSMUSG00000000782,protein_coding
ENSMUSG00000000787,protein_coding
ENSMUSG00000000792,protein_coding
ENSMUSG00000000804,protein_coding
ENSMUSG00000000805,protein_coding
ENSMUSG00000000811,protein_coding
ENSMUSG00000000823,protein_coding
ENSMUSG00000000826,protein_coding
ENSMUSG00000000827,protein_coding
ENSMUSG00000000838,protein_coding
ENSMUSG00000000876,protein_coding
ENSMUSG00000000881,protein_coding
ENSMUSG00000000884,protein_coding
ENSMUSG00000000901,protein_coding
ENSMUSG00000000902,protein_coding
ENSMUSG00000000915,protein_coding
ENSMUSG00000000916,protein_coding
ENSMUSG00000000934,protein_coding
ENSMUSG00000000948,protein_coding
ENSMUSG00000000957,protein_coding
ENSMUSG00000000958,protein_coding
ENSMUSG00000000959,protein_coding
ENSMUSG00000000976,protein_coding
ENSMUSG00000001016,protein_coding
ENSMUSG00000001017,protein_coding
ENSMUSG00000001018,protein_coding
ENSMUSG00000001025,protein_coding
ENSMUSG00000001034,protein_coding
ENSMUSG00000001036,protein_coding
ENSMUSG00000001039,protein_coding
ENSMUSG00000001052,protein_coding
ENSMUSG00000001053,protein_coding
ENSMUSG00000001054,protein_coding
ENSMUSG00000001056,protein_coding
ENSMUSG00000001062,protein_coding
ENSMUSG00000001065,protein_coding
ENSMUSG00000001082,protein_coding
ENSMUSG00000001089,protein_coding
ENSMUSG00000001098,protein_coding
ENSMUSG00000001100,protein_coding
ENSMUSG00000001105,protein_coding
ENSMUSG00000001120,protein_coding
ENSMUSG00000001123,protein_coding
ENSMUSG00000001127,protein_coding
ENSMUSG00000001128,protein_coding
ENSMUSG00000001131,protein_coding
ENSMUSG00000001134,protein_coding
ENSMUSG00000001138,protein_coding
ENSMUSG00000001143,protein_coding
ENSMUSG00000001150,protein_coding
ENSMUSG00000001151,protein_coding
ENSMUSG00000001156,protein_coding
ENSMUSG00000001157,protein_coding
ENSMUSG00000001158,protein_coding
ENSMUSG00000001166,protein_coding
ENSMUSG00000001173,protein_coding
ENSMUSG00000001175,protein_coding
ENSMUSG00000001211,protein_coding
ENSMUSG00000001227,protein_coding
ENSMUSG00000001228,protein_coding
ENSMUSG00000001229,protein_coding
