ensembl_gene_id,gene_biotype
ENSMUSG00000000673,protein_coding
ENSMUSG00000005107,protein_coding
ENSMUSG00000012017,protein_coding
ENSMUSG00000015467,protein_coding
ENSMUSG00000019850,protein_coding
ENSMUSG00000020335,protein_coding
ENSMUSG00000020357,protein_coding
ENSMUSG00000020639,protein_coding
ENSMUSG00000020870,protein_coding
ENSMUSG00000021732,protein_coding
ENSMUSG00000021940,protein_coding
ENSMUSG00000022208,protein_coding
ENSMUSG00000024614,protein_coding
ENSMUSG00000025876,protein_coding
ENSMUSG00000027329,protein_coding
ENSMUSG00000032093,protein_coding
ENSMUSG00000032726,protein_coding
ENSMUSG00000032750,protein_coding
ENSMUSG00000033721,protein_coding
ENSMUSG00000034452,protein_coding
ENSMUSG00000035337,protein_coding
ENSMUSG00000036225,protein_coding
ENSMUSG00000036523,protein_coding
ENSMUSG00000038011,protein_coding
ENSMUSG00000038060,protein_coding
ENSMUSG00000038473,protein_coding
ENSMUSG00000039838,protein_coding
ENSMUSG00000041237,protein_coding
ENSMUSG00000041679,protein_coding
ENSMUSG00000041827,protein_coding
ENSMUSG00000042564,protein_coding
ENSMUSG00000046168,protein_coding
ENSMUSG00000047565,protein_coding
ENSMUSG00000048029,protein_coding
ENSMUSG00000048616,protein_coding
ENSMUSG00000049123,protein_coding
ENSMUSG00000049230,protein_coding
ENSMUSG00000050138,protein_coding
ENSMUSG00000051323,protein_coding
ENSMUSG00000053205,protein_coding
ENSMUSG00000056427,protein_coding
ENSMUSG00000057182,protein_coding
ENSMUSG00000057265,protein_coding
ENSMUSG00000059343,protein_coding
ENSMUSG00000062083,protein_coding
ENSMUSG00000062226,protein_coding
ENSMUSG00000062687,protein_coding
ENSMUSG00000068417,protein_coding
ENSMUSG00000069899,protein_coding
ENSMUSG00000071398,protein_coding
ENSMUSG00000074141,protein_coding
ENSMUSG00000074384,protein_coding
ENSMUSG00000078153,protein_coding
ENSMUSG00000078235,protein_coding
ENSMUSG00000078901,protein_coding
ENSMUSG00000079235,protein_coding
ENSMUSG00000079497,protein_coding
ENSMUSG00000080717,protein_coding
ENSMUSG00000090957,protein_coding
ENSMUSG00000091695,protein_coding
ENSMUSG00000094932,protein_coding
ENSMUSG00000095193,protein_coding
ENSMUSG00000095687,protein_coding
ENSMUSG00000095799,protein_coding
ENSMUSG00000096768,protein_coding
ENSMUSG00000102627,protein_coding
