"","GeneID","PB357.02","PB357.07","PB357.09","PB357.12","PB357.16","PB357.18","PB357.19","PB357.20","PB357.21","PB357.22","PB357.28","PB357.29","PB358.01","PB358.04","PB358.05","PB358.07","PB358.08","PB358.12","PB358.13","PB358.18","PB358.19","PB358.25","PB358.28","PB358.29","PB358.32","PB358.33","PB358.34","PB358.39","PB358.42","PB358.43","PB358.50","PB358.57","PB359.03","PB359.06","PB359.19","PB359.22","PB359.25","PB359.29","PB359.33","PB359.41","PB359.42","PB359.49","PB359.51","PB359.55","PB359.56","PB359.57","PB359.64","PB359.65","PB359.66","PB359.67","PB359.70","PB359.73","PB359.83","PB359.84","PB359.86","PB359.87","PB359.88","PB359.90","PB360.02","PB360.07","PB360.08","PB360.09","PB360.13","PB360.15","PB360.18","PB360.21","PB360.22","PB360.24","PB360.26","PB360.32","PB360.36","PB360.41","PB360.42","PB360.45","PB360.46","PB360.49","PB360.50","PB360.52","PB360.53","PB360.57","PB360.59","PB360.70","PB360.75","PB360.76","PB360.83","PB360.86","PB360.88","PB360.93","PB360.94","PB361.01","PB361.02","PB361.11","PB361.15","PB361.21","PB361.23","PB361.24","PB361.25","PB361.28","PB361.37","PB361.39","PB361.43","PB361.44","PB361.48","PB361.59","PB361.62","PB361.63","PB361.67","PB361.69","PB361.70","PB361.73_ES_B","PB361.73","PB361.76","PB361.77","PB361.78","PB361.81","PB361.85","PB361.86","PB361.88","PB361.90_ES_B","PB361.91","PB361.94","PB362.07","PB362.09","PB362.11","PB362.13","PB362.40","PB362.45","PB362.56","PB362.57","PB362.65","PB362.73","PB363.02","PB363.07","PB363.08","PB363.47","PB363.55","PB364.50","PB364.73","PB364.86","PB365.13","PB365.22","PB365.33","PB365.38","PB365.45","PB365.46","PB365.47","PB366.02","PB366.03","PB366.07","PB366.15","PB366.18","PB366.21","PB366.41","PB366.43","PB366.44","PB366.51","PB366.72","PB366.78","PB366.80","PB366.87","PB367.06","PB367.10","PB367.19","PB367.26","PB367.45_ES_B","PB367.45","PB367.47","PB367.55","PB367.68","PB368.05","PB368.06","PB368.12","PB368.15","PB368.19","PB368.24","PB368.41","PB368.63","PB368.79","PB369.07","PB369.08","PB369.16","PB369.18","PB369.29","PB369.32","PB369.36"
"1","ENSMUSG00000004651",149.8663,64.9761,120.6952,65.5203,82.1785,79.8669,89.1826,129.652,339.3026,116.3701,87.9788,103.4965,102.0302,126.1531,28.4542,66.4333,25.4397,45.1647,53.1575,66.3699,91.4668,134.671,66.3755,108.8852,162.4245,169.0232,50.5997,44.0716,77.5832,101.8585,42.0962,27.2463,55.7561,117.3721,44.4117,31.7756,78.659,165.0946,106.7403,112.3723,135.7823,182.7649,59.1027,195.4298,77.2791,55.5803,57.6045,55.3343,63.1631,89.2394,83.089,100.8663,156.3451,94.5767,155.5905,111.5542,73.2013,86.9713,86.9823,60.8747,54.4254,97.1227,69.3649,189.0338,152.5187,53.678,41.9632,165.6667,117.5998,115.0257,190.8913,83.3831,56.3285,59.5014,126.883,119.9471,242.8021,61.674,130.5445,58.1948,268.8642,70.3044,142.0873,128.3026,54.3119,139.007,190.8883,105.6569,188.4344,103.6459,107.0536,113.3396,79.6276,108.7855,89.6148,94.8265,124.2268,76.446,67.5454,116.1118,104.3707,132.163,158.4143,6.7207,87.3082,146.8866,246.6505,226.3709,116.2763,101.4421,204.8011,118.8795,109.2539,84.9453,60.1293,199.0988,132.3924,81.754,31.0811,114.2156,125.3828,23.8645,54.792,103.4032,70.1614,52.8738,75.2652,65.9589,99.3619,69.0381,126.1697,79.5497,75.0882,80.7675,127.1948,91.348,171.3502,81.5433,86.3982,76.9023,160.7284,216.6119,148.3184,65.7352,174.021,97.793,84.2427,116.7396,18.5138,185.7646,45.6354,38.1428,17.8385,49.9501,70.4807,62.6268,478.0914,71.1757,207.5675,158.7698,78.3797,107.5751,126.7727,60.7864,91.9624,242.326,118.0914,110.5454,85.2174,89.7222,170.2209,121.6431,186.1561,96.9057,78.0044,144.2756,83.361,128.9835,42.4694,76.3574,100.4969,106.5257,85.1913,85.6437,120.3705
"2","ENSMUSG00000009292",524.3649,170.5951,429.1842,150.7782,368.9044,156.8296,218.695,494.9213,2488.0365,290.2052,343.6164,387.685,329.4357,476.3066,97.3245,163.743,83.4978,322.3542,201.0484,261.2465,333.8052,422.9406,368.8067,548.2468,610.1694,475.0264,134.9079,137.1544,458.1707,134.3301,70.3644,165.2056,140.0206,437.8406,145.2198,155.8483,284.0559,851.9578,356.6375,288.8543,299.9169,373.7566,181.053,700.591,393.5164,132.5432,212.5955,184.158,187.1035,237.9598,214.1178,312.4305,522.2197,371.6503,489.0358,164.6708,248.7508,293.3034,67.9498,239.7982,130.4746,405.4801,246.6881,515.136,904.6132,135.6666,140.9173,443.992,382.0622,456.3208,688.7204,328.727,134.9324,129.5252,308.7697,283.8048,863.1937,295.2199,330.3287,218.1936,701.2483,233.2484,337.9311,356.5684,254.3782,722.032,498.9817,396.7243,640.5289,381.4502,353.977,349.4057,185.7236,711.8646,203.7355,678.5375,478.6634,289.5768,372.2191,314.0288,348.953,395.3486,527.5989,295.5661,288.5925,279.8251,639.5297,1000.4672,790.7992,551.5725,1357.3157,406.0424,387.7984,322.171,297.4776,1114.9666,974.0728,257.0736,100.1469,220.1124,370.1027,50.379,114.4308,352.5596,217.103,293.5433,268.9861,241.6243,266.9362,215.4216,260.2639,249.9603,264.0249,215.9699,405.6131,259.9808,444.588,376.4396,541.1989,448.6576,636.6672,1170.3157,310.5999,282.9188,388.7189,205.928,235.0157,318.5482,265.133,556.863,288.0005,125.0663,316.1385,187.7386,228.6189,233.1836,3698.0555,229.6505,448.4452,426.3285,211.8738,362.0478,431.6665,221.7375,667.4333,1630.9822,657.4654,231.3693,393.7706,598.4992,379.7553,145.5503,338.8126,375.7194,251.5891,325.6003,479.0242,809.3624,135.1895,213.6767,300.3606,440.3013,351.8553,226.4101,451.3992
"3","ENSMUSG00000009646",8,8,17,15,7,5,20,10,10,7,13,10,1,4,2,26,9,43,11,58,7,41,10,60,4,8,13,3,6,17,4,1,3,128,8,4,23,5,24,7,24,7,18,3,25,15,15,7,20,30,5,10,8,13,19,6,22,5,2,3,6,18,7,9,25,11,15,24,5,12,119,5,9,18,10,4,8,4,6,36,3,8,11,16,12,8,8,9,22,8,11,13,12,13,7,34,245,14,11,22,14,16,17,8,6,9,6,7,6,14,21,7,32,10,2,11,115,8,0,16,9,2,6,16,6,1,8,8,13,24,15,2,0,8,10,21,32,2,1,10,22,10,7,8,3,8,10,3,38,6,9,6,16,29,31,6,31,18,4,2,15,9,21,6,14,36,10,7,9,6,3,2,3,6,11,30,48,9,4,3,14,3,5,27,16
"4","ENSMUSG00000014503",34.1185,21.6323,41.2296,28.5995,36.461,24.8739,38.6757,26.3703,19.6269,35.3975,52.4752,34.1581,78.8771,33.4218,29.1585,33.7279,17.9438,30.4409,44.6518,25.7046,25.3632,26.1777,40.1801,24.5992,21.375,42.2223,26.779,30.9912,16.5573,52.3453,27.6615,24.893,67.8182,67.8858,48.9477,36.8517,41.1023,51.8934,12.9184,26.3486,29.2804,18.5474,27.9965,30.4728,36.3576,48.3647,26.6952,34.1222,34.2613,47.6757,28.2938,30.9375,36.4841,42.7475,39.8718,30.3745,39.4215,28.4651,41.2149,38.2644,35.7057,41.6665,49.5817,27.5517,28.6112,65.0286,18.2747,114.6287,40.6135,28.6137,44.816,35.7183,27.6658,38.9854,18.8979,29.5944,27.0384,42.6707,21.1983,47.0487,31.6264,37.6728,40.4216,17.9697,35.1087,45.1653,23.4045,34.5552,46.9209,26.6452,29.0967,25.7779,17.0924,21.3795,25.539,32.1013,48.954,46.5506,46.1002,25.4757,22.2469,35.516,23.2207,15.5443,21.5001,34.7028,29.089,25.6289,26.6349,30.251,52.8006,50.6631,39.1186,28.446,29.7047,27.4566,26.0304,21.8894,10.2183,36.0717,60.0777,8.5635,27.4535,36.0139,31.4103,31.7941,17.7548,33.0702,54.3788,35.2877,32.1176,21.214,27.0821,33.4285,26.2168,32.5845,93.1349,35.0449,32.9497,41.0445,14.8626,32.8518,26.9792,35.2679,28.5774,22.3858,31.8531,37.7358,29.0703,18.5136,25.1219,29.2472,47.1377,28.4892,38.6363,20.1708,22.0655,21.7481,27.3647,45.4864,18.6499,14.3935,51.061,22.2434,28.6551,88.0878,22.5547,52.1167,20.4951,32.9119,22.4174,15.1573,31.7269,42.7756,20.9691,35.8529,53.1767,18.8244,43.6684,22.7405,21.0469,48.8601,81.2474,23.9423,25.2021
"5","ENSMUSG00000015316",174.9782,71.7899,220.3791,58.1957,110.7798,66.077,67.1833,145.7463,669.22,142.0881,107.7301,124.2104,85.0448,213.9857,20.0611,28.6466,18.3045,55.5363,36.6429,88.5904,104.7547,142.3631,146.4278,180.5465,142.5239,191.1239,55.3665,29.4391,104.3472,75.9881,30.443,57.718,81.3128,53.0823,65.7837,37.2365,59.4355,192.9789,72.7311,72.5431,55.9845,87.3002,47.5201,226.7157,87.3374,73.5297,98.6413,50.5372,61.8086,85.4759,21.5414,66.5875,152.7189,86.4265,210.7664,137.8409,39.9729,68.3073,42.6704,40.5377,36.4134,49.4997,187.6272,221.4861,195.8878,45.2207,32.9347,101.8201,137.575,244.1464,444.0215,57.7585,55.4072,27.9707,67.37,86.5204,433.177,134.9715,96.3606,28.1268,438.8291,30.2792,194.3607,160.4304,177.8453,190.5075,123.4023,130.7164,256.1404,81.7734,163.6315,40.1334,74.7216,156.0575,65.1305,134.8048,88.3143,126.4096,65.157,126.7493,66.4096,98.273,117.6147,90.2178,58.4508,162.9935,219.8561,193.1659,174.9487,105.5841,240.0274,168.7216,202.9891,86.698,48.5578,351.5274,103.2306,86.8498,13.6605,177.9228,74.4074,25.5964,37.1537,80.33,47.5686,56.5848,76.2916,26.7805,91.1628,76.8235,77.0395,140.5581,33.7421,83.8935,78.8327,70.9755,141.754,89.1872,92.2849,121.8676,200.2735,285.5709,69.7713,78.7413,80.1625,44.4314,60.7757,46.8216,43.5433,113.1842,69.6221,39.8293,54.1391,40.6085,25.0558,50.3946,893.3106,103.8708,131.5653,90.7256,71.3641,75.9022,142.7604,31.1482,157.3278,356.2763,169.1693,95.9618,87.1744,153.8228,191.6279,107.5516,98.2201,114.9261,56.9271,94.6886,67.3865,250.3421,28.1533,53.529,98.8456,72.8598,70.1438,80.6239,142.3076
"6","ENSMUSG00000015467",8.047,8.728,37.3169,4,1,6.0632,8.0368,10.1188,6.0602,10.5635,4.0276,8.0737,16.1886,9.0897,8.2855,5.0895,7,20,20.0612,6,11.1514,12.0437,15.1018,11.0766,6,12.1004,12.221,11,11.0362,31.1256,20.1119,16,20.0698,33.1725,18.5305,18.7627,11.168,23,34.2302,9.0873,11,19.0706,21.1502,10.1294,34.2676,30.5275,10.0181,16.1474,18,45.1835,4.0087,5.0647,14.0577,20.0402,4,10.7901,8,19.2166,6.3799,3.0185,9.4102,25,12.0807,7.0002,10.0283,39.2474,18,53.4965,19.0697,9,10.0019,11.1648,12.132,18.3041,12.1367,16.1085,4.4172,15.0964,17,18,14.1978,42.0809,6.0631,9,10.0483,4.0184,23.1007,13.044,14.0629,3,31.1558,9.0379,9.0939,12.0703,12.2564,7.1114,18.0396,17.2466,15.1226,9.161,12.0001,13.2399,9.6232,16.8986,4,14.0001,5,10.1103,2,18.0386,33.3741,8.5425,6.0495,8.1422,5.084,10.1252,7,8.9996,4,4,12.053,4.0797,7.0764,10.1873,10.0043,14.1845,12,23,24.09,6,9.0525,15.0868,24.1091,8,7,11.0468,75.467,18,16.1418,15.0436,7.9278,10,6.0591,16,4.1393,5,4.0835,6,7.053,3.9998,33,5,4.0356,20.7755,30,1.75,7.7969,12,4.0765,9.682,17.1323,11.101,61.3318,3.6693,10.0381,26.117,7.1205,5,5.0629,10.028,15.8664,12,11,16,12.0469,13.228,21.3067,7.1352,16.0648,12.2075,34.1721,16.2064,27.2638,11.9146,17.9948
"7","ENSMUSG00000021998",32.7513,25.3886,43.2233,37.2559,46.3029,32.1826,26.2242,37.3444,16.2273,41.6986,25.1937,50.1391,70.5194,47.1314,15.0376,14.5991,16.4396,39.2082,40.8794,33.8459,38.4901,23.0298,26.4904,60.4578,17.6024,59.3982,47.3417,16.4069,18.1817,53.7999,34.0408,6,46.9732,32.2347,31.7319,32.1749,20.0648,39.1164,102.9683,38.9547,27.0288,41.0765,36.6648,35.0181,13.0461,63.3439,36.8392,24.3459,27.7544,32.3702,28,32.0689,40.3193,24.892,47.0588,32.5184,15.3317,32.5761,18.2634,45.2029,30.1597,15.439,27.5266,17.0374,30.4759,23.2212,25.2676,33.8057,67.0668,43.9407,65.3735,22.0908,32.131,8.0077,29.1295,28.5945,61.4613,13.7682,26.7126,52.2759,76.2681,43.2461,24.3464,13.0238,48.1977,36.0272,41.2067,61.38,57.343,40.0163,18.2115,20.2074,17.5446,21.1972,36.0284,39.0448,55.4705,21.87,65.0439,21.294,38.5455,26.4355,25.0654,12.5888,41.4319,34.3556,77.9605,16.1411,18.6144,44.0362,94.1518,31.096,51.1928,22.4393,14.2358,19.0395,31.9359,36.213,8,18.3383,16.2333,4,13.7875,25.1216,29.5894,26.7383,52.2853,14.3842,26.6217,24.9747,46.1526,8.1007,34.6873,21.3655,19.388,37.0889,90.1857,25.1254,8.0682,33.2222,70.8739,58.6853,36.1499,24.3611,43.557,32.2581,66.2183,33.5029,14.5463,16.2805,24.0612,14.7216,40.0224,17.18,34.2077,15.3917,37.0175,11.8066,46.1615,47.1493,20.9155,22.1762,40.3059,20.2011,29.5622,87.308,30.1653,34.4927,56.1456,38.5145,49.159,42.078,37.562,64.9233,23.1807,30.7979,116.8701,19.2757,37.332,19.0325,53.7731,32.1813,42.6879,37.1289,21.441
"8","ENSMUSG00000022993",9,0,2,12,11,10,6,10,14,7,12,9,3,6,6,9,2,3,10,1,0,6,11,6,2,8,6,3,8,12,3,7,9,10,3,5,2,3,6,8,3,4,21,4,5,10,3,7,6,9,2,4,11,20,8,2,2,2,4,11,1,3,3,5,14,5,0,11,13,8,10,3,5,5,4,12,6,5,7,5,7,4,2,16,2,4,17,1,11,9,14,3,19,5,5,9,11,7,13,4,2,7,3,2,13,9,15,4,2,13,26,6,15,6,1,5,2,2,1,8,5,3,6,3,6,2,2,5,14,12,4,0,1,2,0,2,17,3,2,3,6,3,9,14,1,5,1,7,6,1,7,8,4,0,10,1,6,4,2,1,5,3,10,3,3,17,3,1,4,7,3,2,2,8,11,13,16,3,8,3,6,4,19,6,13
"9","ENSMUSG00000025386",147.2657,55.3489,81.9176,32.6596,81.9174,42.6089,56.9898,129.833,375.0204,51.0611,54.478,70.8589,56.9026,70.0651,12.3085,49.3211,21.4052,52.1358,47.4846,28.185,51.099,106.402,51.7074,75.8719,84.6076,89.8793,36.977,19.2237,67.897,54.2866,24.8058,27.6473,54.3738,103.793,36.8635,47.4632,41.1433,148.8792,86.6811,41.4712,67.56,100.2738,58.7591,106.5825,62.2621,45.3251,67.5408,37.1153,35.0233,62.9239,52.0627,58.3843,68.3778,78.894,92.585,68.0174,28.869,60.9007,42.097,41.4969,51.5178,70.6471,66.7657,91.9448,153.3992,25.5068,32.825,62.0183,69.4232,79.0237,158.3992,34.9297,46.135,26.9982,53.3483,69.8593,154.2251,47.4215,104.6332,61.2992,160.9643,99.9094,57.6939,78.1981,48.8401,79.7722,115.7771,81.0755,95.2823,76.5806,51.3228,53.9022,52.9248,92.2897,59.8358,76.5373,62.6863,85.6615,51.1234,92.5698,68.4337,70.4371,74.8682,59.0602,75.6208,101.5008,189.2776,180.3609,108.1836,76.4504,199.9184,54.1485,90.6709,36.5107,27.8613,133.9203,52.363,40.6775,14.4403,37.8907,50.5168,10.3164,47.3357,62.0696,43.5864,27.9982,55.9222,38.9505,78.2502,39.9915,30.8848,65.4451,42.5107,46.824,58.95,37.3175,81.8785,150.0782,141.5947,65.3922,119.6507,181.8196,61.5009,41.124,94.0832,62.5331,58.1866,73.5307,31.8361,90.8025,60.8435,31.6574,60.1201,46.5928,50.7857,43.0009,521.082,50.6612,78.6896,95.1478,45.6979,64.9751,69.4581,38.3181,65.2542,156.8704,109.8867,76.1565,61.8786,83.4611,85.8417,85.5654,68.0682,84.9381,44.3634,83.495,78.904,152.2677,36.8176,47.4719,71.7894,72.539,109.6727,90.1899,96.8187
"10","ENSMUSG00000026173",118.2486,11.3502,35.4352,37.1269,71.3973,15.2053,31.8132,48.2528,96.5479,18.5543,39.1627,44.1925,76.4901,19.2663,11.9824,14.5189,21.3233,18.2874,17.1112,65.5824,18.8377,63.5531,29.9319,18.3926,24.4818,42.7903,13.9244,12.9019,20.0137,24.4608,19.1758,22.4019,35.9722,82.8049,22.7139,15.2331,23.6805,41.1376,33.8369,41.8168,15.8377,27.07,25.7618,37.9885,61.7981,41.2427,27.5314,15.8421,25.2001,65.1966,34.9527,33.5051,25.0949,41.2342,47.6068,33.9487,17.9464,34.0333,12.6609,27.653,16.0708,21.5332,17.7294,21.3902,49.609,19.9609,18.1245,25.1709,40.5288,40.7377,22.0595,15.3613,28.6284,14.4202,24.8545,19.8675,34.6445,32.7662,32.9989,32.8224,69.3515,36.2101,16.0892,19.5748,27.2355,28.6592,51.3165,33.2211,49.5356,30.4261,36.3829,21.3609,6.4372,43.0052,20.0147,20.2396,40.4985,22.8872,24.358,57.1707,54.5011,22.4328,7.3033,11.3154,32.2346,41.3427,34.5171,39.3771,30.6051,34.5178,60.1993,21.9329,32.8259,16.5161,31.0593,82.0548,42.0171,42.8708,5.9604,29.9228,44.1997,4.3682,20.2645,21.8629,18.1995,18.5785,30.706,10.3161,37.5362,36.8446,25.2164,44.9452,21.0549,14.028,26.9584,24.2046,62.885,10.3188,4.2711,42.8552,43.0903,30.4242,53.8799,20.0215,45.4203,11.2279,41.3824,46.3218,26.3494,17.2577,20.6244,11.2817,29.1494,33.5986,38.8068,26.4521,43.2597,10.2279,27.1696,14.8045,27.3868,31.7193,63.632,13.1913,26.2706,60.6036,29.3788,50.8333,22.5155,29.9649,38.5314,30.3549,47.2178,46.8397,25.2116,32.7056,53.0705,24.3789,18.6745,11.1337,47.7522,38.1745,67.4252,32.4959,23.1531
