ensembl_gene_id,gene_biotype
ENSMUSG00000004651,protein_coding
ENSMUSG00000009292,protein_coding
ENSMUSG00000009646,protein_coding
ENSMUSG00000014503,protein_coding
ENSMUSG00000015316,protein_coding
ENSMUSG00000015467,protein_coding
ENSMUSG00000021998,protein_coding
ENSMUSG00000022993,protein_coding
ENSMUSG00000025386,protein_coding
ENSMUSG00000026173,protein_coding
ENSMUSG00000026640,protein_coding
ENSMUSG00000026778,protein_coding
ENSMUSG00000026969,protein_coding
ENSMUSG00000027322,protein_coding
ENSMUSG00000028751,protein_coding
ENSMUSG00000030380,protein_coding
ENSMUSG00000032372,protein_coding
ENSMUSG00000033450,protein_coding
ENSMUSG00000033569,protein_coding
ENSMUSG00000035383,protein_coding
ENSMUSG00000036892,protein_coding
ENSMUSG00000037432,protein_coding
ENSMUSG00000037548,protein_coding
ENSMUSG00000040812,protein_coding
ENSMUSG00000041872,protein_coding
ENSMUSG00000042118,protein_coding
ENSMUSG00000042286,protein_coding
ENSMUSG00000044258,protein_coding
ENSMUSG00000044424,protein_coding
ENSMUSG00000044916,protein_coding
ENSMUSG00000045114,protein_coding
ENSMUSG00000047155,protein_coding
ENSMUSG00000047793,protein_coding
ENSMUSG00000050097,protein_coding
ENSMUSG00000051177,protein_coding
ENSMUSG00000051225,protein_coding
ENSMUSG00000052783,protein_coding
ENSMUSG00000053205,protein_coding
ENSMUSG00000053835,protein_coding
ENSMUSG00000054934,protein_coding
ENSMUSG00000056018,protein_coding
ENSMUSG00000056130,protein_coding
ENSMUSG00000057265,protein_coding
ENSMUSG00000058057,protein_coding
ENSMUSG00000058246,protein_coding
ENSMUSG00000061991,protein_coding
ENSMUSG00000063021,protein_coding
ENSMUSG00000063522,protein_coding
ENSMUSG00000063846,protein_coding
ENSMUSG00000064177,protein_coding
ENSMUSG00000066258,protein_coding
ENSMUSG00000067085,protein_coding
ENSMUSG00000068547,protein_coding
ENSMUSG00000069117,protein_coding
ENSMUSG00000069309,protein_coding
ENSMUSG00000069892,protein_coding
ENSMUSG00000071586,protein_coding
ENSMUSG00000071815,protein_coding
ENSMUSG00000072664,protein_coding
ENSMUSG00000073448,protein_coding
ENSMUSG00000073761,protein_coding
ENSMUSG00000074768,protein_coding
ENSMUSG00000075425,protein_coding
ENSMUSG00000078160,protein_coding
ENSMUSG00000078552,protein_coding
ENSMUSG00000078625,protein_coding
ENSMUSG00000078901,protein_coding
ENSMUSG00000079010,protein_coding
ENSMUSG00000079383,protein_coding
ENSMUSG00000087610,protein_coding
ENSMUSG00000090215,protein_coding
ENSMUSG00000090231,protein_coding
ENSMUSG00000090264,protein_coding
ENSMUSG00000090486,protein_coding
ENSMUSG00000091028,protein_coding
ENSMUSG00000091110,protein_coding
ENSMUSG00000091568,protein_coding
ENSMUSG00000091695,protein_coding
ENSMUSG00000091742,protein_coding
ENSMUSG00000092166,protein_coding
ENSMUSG00000092367,protein_coding
ENSMUSG00000094027,protein_coding
ENSMUSG00000094248,protein_coding
ENSMUSG00000094338,protein_coding
ENSMUSG00000094462,protein_coding
ENSMUSG00000094484,protein_coding
ENSMUSG00000094856,protein_coding
ENSMUSG00000094932,protein_coding
ENSMUSG00000095186,protein_coding
ENSMUSG00000095470,protein_coding
ENSMUSG00000095503,protein_coding
ENSMUSG00000095547,protein_coding
ENSMUSG00000095625,protein_coding
ENSMUSG00000095687,protein_coding
ENSMUSG00000095717,protein_coding
ENSMUSG00000095799,protein_coding
ENSMUSG00000095935,protein_coding
ENSMUSG00000096049,protein_coding
ENSMUSG00000096385,protein_coding
ENSMUSG00000096530,protein_coding
ENSMUSG00000096768,protein_coding
ENSMUSG00000097854,protein_coding
ENSMUSG00000098306,protein_coding
ENSMUSG00000100210,protein_coding
ENSMUSG00000101972,protein_coding
ENSMUSG00000102627,protein_coding
ENSMUSG00000105103,protein_coding
